Building_Name,Address,City,Country,Height_in_Feet,Floors,Year
Burj Khalifa,1 Sheikh Mohammed bin Rashid Boulevard,Dubai,United Arab Emirates,2717,163,2010
Shanghai Tower,"501 Yincheng Middle Rd, Lujiazui, Pudong",Shanghai,China,2073,128,2015
Makkah Royal Clock Tower,Abraj Al-Bait,Mecca,Saudi Arabia,1971,120,2012
Ping An Finance Centre,"No. 5033 Yitian Road, Futian District, Guangdong",Shenzhen,China,1965,115,2017
Lotte World Tower,"300 Olympic-ro, Jamsil 6(yuk)-dong, Songpa-gu",Seoul,South Korea,1819,123,2016
