City,State,2018_Population_Est,latitude,longitude
Lakewood,New Jersey,104157,40.0771,-74.2004
Burbank,California,103695,34.1901,-118.3264
Rialto,California,103440,34.1118,-117.3883
Allen,Texas,103383,33.0997,-96.6631
El Cajon,California,103241,32.8017,-116.9604
Las Cruces,New Mexico,102926,32.3264,-106.7897
Renton,Washington,102153,47.4761,-122.1920
Davenport,Iowa,102085,41.5541,-90.6040
South Bend,Indiana,101860,41.6769,-86.2690
Vista,California,101224,33.1895,-117.2386
Tuscaloosa,Alabama,101113,33.2065,-87.5346
Clinton,Michigan,100800,42.5903,-82.9170
Edison,New Jersey,100693,40.5040,-74.3494
Woodbridge,New Jersey,100450,40.5607,-74.2927
San Angelo,Texas,100215,31.4411,-100.4505
Kenosha,Wisconsin,100164,42.5822,-87.8456
Vacaville,California,100154,38.3539,-121.9728
